epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_cm_eer,selection_score,lr
1,0.3274087457180023,0.899475,0.3019537280631971,0.9024,0.9124412197871803,0.9023723466591195,0.9005170261243339,0.07979601199472078,0.9064231146886175,0.001
2,0.1330545236200094,0.9558,0.32236012448615664,0.8694,0.9052302721797266,0.8693506196719839,0.8653308461946717,0.04934755623132801,0.8909273254668717,0.001
3,0.09090817856937647,0.97005,0.06380308294503749,0.9782,0.9790038924274592,0.978203638984088,0.9781132420190417,0.015599220389945385,0.9799995032963456,0.001
4,0.07586232196763158,0.97325,0.5552869876728782,0.7794,0.8660460352257937,0.7793126848819912,0.7529105603920762,0.09014551725118522,0.7999937370990977,0.001
5,0.057820147170126436,0.981125,0.11295797060467774,0.9584,0.9616438652295631,0.9583859938696534,0.9582576551481781,0.0334483058383823,0.96074586685221,0.001
6,0.054236693796887996,0.981,0.13090282174039491,0.95,0.9565292992523039,0.9499799919967987,0.9497097924585148,0.013799310344951708,0.9606570616174749,0.0005
7,0.03534490884318948,0.9888,0.39785117910632606,0.8636,0.9032212288917271,0.8635458982633245,0.8578382100910676,0.015449205388445249,0.8958519854472137,0.0005
8,0.030257258064113557,0.9901,0.09533692284522555,0.9652,0.968495382944052,0.9651860744297719,0.9651003081349208,0.010349505256464437,0.9724653641175052,0.0005
9,0.029901008898951115,0.990025,0.14530422545592242,0.9436,0.9515370699671166,0.9435777910444321,0.9431997076616482,0.01439928035994964,0.9559200112551688,0.00025
10,0.02093279769476503,0.99345,0.0372851041228145,0.986,0.9863062793759569,0.9860019592720111,0.9859812157034217,0.012299340311955634,0.9864970488988085,0.00025
11,0.020620347343571484,0.9934,0.06212718560525417,0.975,0.9760506497053889,0.974991676334601,0.9749758655625115,0.018599070464934923,0.9769033847542776,0.00025
12,0.01887610298655927,0.9938,0.032230270686087824,0.9884,0.9887541520894572,0.9883955981912861,0.9883957393767727,0.0056996701469786875,0.9901671165196473,0.00025
13,0.01718168901866302,0.99425,0.12404020089373181,0.952,0.9580492920818039,0.9519809123409412,0.9517590205023182,0.005549655145478551,0.9645664178079791,0.00025
14,0.01723194717783481,0.9947,0.01785978460625474,0.9942,0.9942069352679536,0.9941999595279024,0.9942000583324262,0.008249655199473158,0.9934651442728564,0.00025
15,0.017896743719745426,0.99435,1.2138606604141524,0.7248,0.8492715521962975,0.7246909561665098,0.6698248530517392,0.04814761620133221,0.7544331122758177,0.00025
16,0.017008460918348282,0.99495,0.025288859789725393,0.9916,0.9918080748976009,0.9915966386554622,0.9915977614197842,0.002699820071989207,0.9933084869722522,0.00025
17,0.017261862960690634,0.99425,0.005666318698786199,0.9988,0.9988020316851277,0.9987996398319376,0.9987998772871826,0.0005999700149978738,0.9989799230965284,0.00025
18,0.01759749205838889,0.994525,0.2962929716310169,0.903,0.9248760842627014,0.9029611844737895,0.900882881545538,0.013499280341951435,0.9265682329792911,0.00025
19,0.012391974923247472,0.99585,0.01713681455312556,0.9944,0.9944159467838869,0.9944001595839295,0.994404282708495,0.006299640161976617,0.9941931058473535,0.00025
20,0.014899614973226562,0.995425,0.3080003031446964,0.8866,0.9153983885407341,0.8865560621369123,0.8837281372463902,0.007499580191972419,0.9163598220148814,0.000125
21,0.009153104293392972,0.997125,0.3870131633704222,0.8938,0.9194722474977253,0.8937575030012005,0.8910126812037653,0.026848635673405355,0.9156542861406141,0.000125
22,0.010971149183902889,0.99625,0.2101849892377099,0.9268,0.9399901623216921,0.9267707082833133,0.9258941881868381,0.00884953522346836,0.9454710711637461,0.000125
23,0.00970030355420895,0.996925,0.07155312955544531,0.972,0.9741307231223332,0.9719889155422217,0.9719482804792405,0.004649745118483076,0.9789688727999233,6.25e-05
24,0.007254804009664804,0.997575,0.07464302563450381,0.9718,0.974004424778761,0.9717888355102088,0.9717549271019491,0.002549895061491743,0.9794634804529168,6.25e-05
